pc_time,fn,r0_raw,r0_hampel_gate,r0_filtered_ewma,r1,r2,glitch_flag,N,alpha,k1
2026-06-16 11:01:26,10552,0.846938,0.846938,0.851276,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10553,0.852300,0.852300,0.851686,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10554,0.851558,0.851558,0.851635,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10555,0.845107,0.845107,0.849024,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:26,10556,0.902013,0.852224,0.850304,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:26,10557,0.891846,0.891846,0.866921,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10558,0.884089,0.884089,0.873788,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10559,0.878773,0.878773,0.875782,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10560,0.871241,0.871241,0.873966,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10561,0.868598,0.868598,0.871819,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10562,0.868356,0.868356,0.870434,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10563,0.864831,0.864831,0.868193,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10564,0.859845,0.859845,0.864854,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10565,0.853539,0.853539,0.860328,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:26,10566,0.848090,0.848090,0.855433,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10567,0.906673,0.864831,0.859192,0.923090,1.371382,1,7,0.40,3.0
2026-06-16 11:01:27,10568,0.905526,0.905526,0.877726,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10569,0.900834,0.900834,0.886969,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10570,0.872469,0.872469,0.881169,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10571,0.865387,0.865387,0.874856,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10572,0.869289,0.869289,0.872629,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10573,0.866249,0.866249,0.870077,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10574,0.858767,0.858767,0.865553,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10575,0.854807,0.854807,0.861255,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10576,0.852542,0.852542,0.857770,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10577,0.910303,0.865387,0.860817,0.923090,1.371382,1,7,0.40,3.0
2026-06-16 11:01:27,10578,0.854214,0.854214,0.858176,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10579,0.854592,0.854592,0.856742,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10580,0.854023,0.854023,0.855654,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10581,0.853646,0.853646,0.854851,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10582,0.853108,0.853108,0.854154,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:27,10583,0.853062,0.853062,0.853717,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10584,0.852459,0.852459,0.853214,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10585,0.854718,0.854718,0.853816,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:27,10586,0.854677,0.854677,0.854160,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10587,0.976922,0.853646,0.853954,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:28,10588,1.189156,0.854677,0.854243,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:28,10589,1.188951,0.854718,0.854433,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:28,10590,0.857844,0.857844,0.855798,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10591,0.857743,0.857743,0.856576,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10592,0.858947,0.858947,0.857524,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10593,0.858284,0.858284,0.857828,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10594,0.859679,0.859679,0.858568,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10595,0.860953,0.860953,0.859522,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10596,0.862122,0.862122,0.860562,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10597,0.862157,0.862157,0.861200,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10598,0.863138,0.863138,0.861975,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10599,0.862400,0.862400,0.862145,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10600,0.863258,0.863258,0.862590,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10601,0.862765,0.862765,0.862660,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10602,0.861904,0.861904,0.862358,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10603,0.860755,0.860755,0.861717,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10604,0.859502,0.859502,0.860831,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10605,0.854705,0.854705,0.858380,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10606,0.854373,0.854373,0.856777,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:28,10607,0.854805,0.854805,0.855988,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10608,0.856340,0.856340,0.856129,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10609,0.853682,0.853682,0.855150,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10610,0.853321,0.853321,0.854419,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10611,0.850687,0.850687,0.852926,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10612,0.850042,0.850042,0.851772,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10613,0.850754,0.850754,0.851365,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10614,0.854306,0.854306,0.852541,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10615,0.858947,0.858947,0.855104,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10616,0.859147,0.859147,0.856721,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10617,0.855003,0.855003,0.856034,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10618,0.853231,0.853231,0.854913,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10619,0.860567,0.860567,0.857174,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10620,0.854892,0.854892,0.856261,1.371382,1.550699,0,7,0.40,3.0
