=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2026.06.02 11:00:08 =~=~=~=~=~=~=~=~=~=~=~=
{"fn":123764,"r0":0.097070,"r1":0.423600,"r2":0.753617}
{"fn":123765,"r0":0.097148,"r1":0.423391,"r2":0.753233}
{"fn":123766,"r0":0.097199,"r1":0.423637,"r2":0.753489}
{"fn":123767,"r0":0.097106,"r1":0.423475,"r2":0.753331}
{"fn":123768,"r0":0.097218,"r1":0.423535,"r2":0.753262}
{"fn":123769,"r0":0.097204,"r1":0.423545,"r2":0.753337}
{"fn":123770,"r0":0.097231,"r1":0.423475,"r2":0.753487}
{"fn":123771,"r0":0.097118,"r1":0.423590,"r2":0.752898}
{"fn":123772,"r0":0.097206,"r1":0.423629,"r2":0.753244}
{"fn":123773,"r0":0.097137,"r1":0.423614,"r2":0.753338}
{"fn":123774,"r0":0.097264,"r1":0.423529,"r2":0.753893}
{"fn":123775,"r0":0.097215,"r1":0.423634,"r2":0.753533}
{"fn":123776,"r0":0.097310,"r1":0.423646,"r2":0.753465}
{"fn":123777,"r0":0.097205,"r1":0.423373,"r2":0.753497}
{"fn":123778,"r0":0.097238,"r1":0.423352,"r2":0.753419}
{"fn":123779,"r0":0.097135,"r1":0.423559,"r2":0.753597}
{"fn":123780,"r0":0.097209,"r1":0.423539,"r2":0.753405}
{"fn":123781,"r0":0.097134,"r1":0.423778,"r2":0.753556}
{"fn":123782,"r0":0.097278,"r1":0.423438,"r2":0.753315}
{"fn":123783,"r0":0.097163,"r1":0.423542,"r2":0.753218}
{"fn":123784,"r0":0.097160,"r1":0.423586,"r2":0.753328}
{"fn":123785,"r0":0.097236,"r1":0.423522,"r2":0.752836}
{"fn":123786,"r0":0.097183,"r1":0.423481,"r2":0.753783}
{"fn":123787,"r0":0.097130,"r1":0.423512,"r2":0.753326}
{"fn":123788,"r0":0.097112,"r1":0.423541,"r2":0.753265}
{"fn":123789,"r0":0.097143,"r1":0.423573,"r2":0.753438}
{"fn":123790,"r0":0.097179,"r1":0.423577,"r2":0.753694}
{"fn":123791,"r0":0.097220,"r1":0.423482,"r2":0.753688}
{"fn":123792,"r0":0.097189,"r1":0.423530,"r2":0.753540}
{"fn":123793,"r0":0.097161,"r1":0.423488,"r2":0.753899}
{"fn":123794,"r0":0.097187,"r1":0.423723,"r2":0.753370}
{"fn":123795,"r0":0.097177,"r1":0.423570,"r2":0.753835}
{"fn":123796,"r0":0.097175,"r1":0.423473,"r2":0.753204}
{"fn":123797,"r0":0.097177,"r1":0.423536,"r2":0.753766}
{"fn":123798,"r0":0.097184,"r1":0.423616,"r2":0.753433}
{"fn":123799,"r0":0.097234,"r1":0.423563,"r2":0.753511}
{"fn":123800,"r0":0.097114,"r1":0.423516,"r2":0.753116}
{"fn":123801,"r0":0.097183,"r1":0.423433,"r2":0.753644}
{"fn":123802,"r0":0.097147,"r1":0.423480,"r2":0.753783}
{"fn":123803,"r0":0.097184,"r1":0.423569,"r2":0.752891}
{"fn":123804,"r0":0.097165,"r1":0.423584,"r2":0.753699}
{"fn":123805,"r0":0.097240,"r1":0.423542,"r2":0.753485}
{"fn":123806,"r0":0.097190,"r1":0.423681,"r2":0.753617}
{"fn":123807,"r0":0.097162,"r1":0.423586,"r2":0.753626}
{"fn":123808,"r0":0.097068,"r1":0.423474,"r2":0.753253}
{"fn":123809,"r0":0.097169,"r1":0.423465,"r2":0.753004}
{"fn":123810,"r0":0.097137,"r1":0.423534,"r2":0.753487}
{"fn":123811,"r0":0.097143,"r1":0.423676,"r2":0.753374}
{"fn":123812,"r0":0.097234,"r1":0.423633,"r2":0.753423}
{"fn":123813,"r0":0.097210,"r1":0.423508,"r2":0.753448}
{"fn":123814,"r0":0.097177,"r1":0.423656,"r2":0.753424}
{"fn":123815,"r0":0.097210,"r1":0.423577,"r2":0.752704}
{"fn":123816,"r0":0.097192,"r1":0.423592,"r2":0.753571}
{"fn":123817,"r0":0.097136,"r1":0.423520,"r2":0.753351}
{"fn":123818,"r0":0.097207,"r1":0.423611,"r2":0.753713}
{"fn":123819,"r0":0.097177,"r1":0.423547,"r2":0.753350}
{"fn":123820,"r0":0.097205,"r1":0.423599,"r2":0.753285}
{"fn":123821,"r0":0.097196,"r1":0.423516,"r2":0.753154}
{"fn":123822,"r0":0.097215,"r1":0.423519,"r2":0.753172}
{"fn":123823,"r0":0.097150,"r1":0.423556,"r2":0.753102}
{"fn":123824,"r0":0.097187,"r1":0.423500,"r2":0.753624}
{"fn":123825,"r0":0.097228,"r1":0.423572,"r2":0.753513}
{"fn":123826,"r0":0.097215,"r1":0.423610,"r2":0.753350}
{"fn":123827,"r0":0.097253,"r1":0.423734,"r2":0.753113}
{"fn":123828,"r0":0.097225,"r1":0.423671,"r2":0.753251}
{"fn":123829,"r0":0.097327,"r1":0.423657,"r2":0.753529}
{"fn":123830,"r0":0.099477,"r1":0.424870,"r2":3.488369}
{"fn":123831,"r0":0.103236,"r1":0.426555,"r2":3.490451}
{"fn":123832,"r0":0.101915,"r1":0.432260,"r2":0.638559}
{"fn":123833,"r0":0.101448,"r1":0.431068,"r2":3.501823}
{"fn":123834,"r0":0.108148,"r1":0.235211,"r2":0.443885}
{"fn":123835,"r0":0.108796,"r1":0.449122,"r2":0.648472}
{"fn":123836,"r0":0.110650,"r1":0.454107,"r2":0.773004}
{"fn":123837,"r0":0.112817,"r1":0.323054,"r2":0.463653}
{"fn":123838,"r0":0.112966,"r1":0.322258,"r2":0.469770}
{"fn":123839,"r0":0.113119,"r1":0.474666,"r2":0.479664}
{"fn":123840,"r0":0.117683,"r1":0.319994,"r2":0.480593}
{"fn":123841,"r0":0.119794,"r1":0.489295,"r2":3.715793}
{"fn":123842,"r0":0.123019,"r1":0.503830,"r2":3.520897}
{"fn":123843,"r0":0.123205,"r1":0.354622,"r2":0.703594}
{"fn":123844,"r0":0.131160,"r1":0.278772,"r2":0.706345}
{"fn":123845,"r0":0.128270,"r1":0.348498,"r2":0.730105}
{"fn":123846,"r0":0.143587,"r1":0.353597,"r2":0.736175}
{"fn":123847,"r0":0.141505,"r1":0.369352,"r2":0.532786}
{"fn":123848,"r0":0.147753,"r1":0.363466,"r2":0.615698}
{"fn":123849,"r0":0.159010,"r1":0.375087,"r2":0.616562}
{"fn":123850,"r0":0.160902,"r1":0.379017,"r2":0.596357}
{"fn":123851,"r0":0.162908,"r1":0.391493,"r2":3.543282}
{"fn":123852,"r0":0.173643,"r1":0.394874,"r2":0.643253}
{"fn":123853,"r0":0.178148,"r1":0.408752,"r2":0.646252}
{"fn":123854,"r0":0.302126,"r1":0.414854,"r2":0.657364}
{"fn":123855,"r0":0.182975,"r1":0.417888,"r2":0.687499}
{"fn":123856,"r0":0.189443,"r1":0.464223,"r2":0.728601}
{"fn":123857,"r0":0.198462,"r1":0.468457,"r2":0.969016}
{"fn":123858,"r0":0.205272,"r1":0.474841,"r2":0.720021}
{"fn":123859,"r0":0.212303,"r1":0.508096,"r2":0.742342}
{"fn":123860,"r0":0.219989,"r1":0.512587,"r2":0.766519}
{"fn":123861,"r0":0.228886,"r1":0.519240,"r2":0.798860}
{"fn":123862,"r0":0.234856,"r1":0.538088,"r2":0.818633}
{"fn":123863,"r0":0.238334,"r1":0.546489,"r2":0.832008}
{"fn":123864,"r0":0.247931,"r1":0.553231,"r2":1.180469}
{"fn":123865,"r0":0.563583,"r1":0.880313,"r2":3.611773}
{"fn":123866,"r0":0.266985,"r1":0.575348,"r2":0.913647}
{"fn":123867,"r0":0.274897,"r1":0.608433,"r2":0.937020}
{"fn":123868,"r0":0.286699,"r1":0.618744,"r2":0.965130}
{"fn":123869,"r0":0.293761,"r1":0.640812,"r2":0.982923}
{"fn":123870,"r0":0.300735,"r1":0.663446,"r2":3.650729}
{"fn":123871,"r0":0.314858,"r1":0.680720,"r2":1.041442}
{"fn":123872,"r0":0.320641,"r1":0.699426,"r2":1.066866}
{"fn":123873,"r0":0.329327,"r1":0.718749,"r2":1.094109}
{"fn":123874,"r0":0.338553,"r1":0.739132,"r2":3.846263}
{"fn":123875,"r0":0.347529,"r1":0.755822,"r2":3.852554}
{"fn":123876,"r0":0.354775,"r1":3.685128,"r2":3.863188}
{"fn":123877,"r0":0.366745,"r1":3.693581,"r2":3.872457}
{"fn":123878,"r0":0.374289,"r1":0.385182,"r2":0.824816}
{"fn":123879,"r0":0.380411,"r1":0.831393,"r2":3.885040}
{"fn":123880,"r0":0.394459,"r1":0.840777,"r2":1.295768}
{"fn":123881,"r0":0.400670,"r1":0.400670,"r2":0.855816}
{"fn":123882,"r0":0.408287,"r1":0.875385,"r2":1.348291}
{"fn":123883,"r0":0.417397,"r1":0.889171,"r2":1.371687}
{"fn":123884,"r0":0.430021,"r1":0.909112,"r2":1.396845}
{"fn":123885,"r0":0.440807,"r1":0.929476,"r2":1.417413}
