pc_time,fn,r0_raw,r0_hampel_gate,r0_filtered_ewma,r1,r2,glitch_flag,N,alpha,k1
2026/6/16 14:19,448,0.321622,0.321622,0.321344,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,449,0.322179,0.322179,0.321678,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,450,0.324736,0.324736,0.322901,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,451,0.330188,0.330188,0.325816,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,452,0.33333,0.33333,0.328822,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,453,0.334826,0.334826,0.331223,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,454,0.336719,0.336719,0.333422,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,455,0.33787,0.33787,0.335201,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,456,0.338499,0.338499,0.33652,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,457,0.339653,0.339653,0.337773,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,458,0.340309,0.340309,0.338788,0.340309,0.341162,0,7,0.4,3
2026/6/16 14:19,459,0.340309,0.340309,0.339396,0.340309,0.342678,0,7,0.4,3
2026/6/16 14:19,460,0.340309,0.340309,0.339761,0.340309,0.34402,0,7,0.4,3
2026/6/16 14:19,461,0.340309,0.340309,0.33998,0.340309,0.341862,0,7,0.4,3
2026/6/16 14:19,462,0.340309,0.340309,0.340112,0.340309,0.342787,0,7,0.4,3
2026/6/16 14:19,463,0.340309,0.340309,0.340191,0.340309,0.341584,0,7,0.4,3
2026/6/16 14:19,464,0.340179,0.340179,0.340186,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,465,0.34018,0.34018,0.340184,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,466,0.340182,0.340182,0.340183,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,467,0.340309,0.340309,0.340233,0.340309,0.356943,0,7,0.4,3
2026/6/16 14:19,468,0.340309,0.340309,0.340264,0.340309,0.354465,0,7,0.4,3
2026/6/16 14:19,469,0.340309,0.340309,0.340282,0.340309,0.369313,0,7,0.4,3
2026/6/16 14:19,470,0.250651,0.340182,0.340242,0.250651,0.250747,1,7,0.4,3
2026/6/16 14:19,471,0.247773,0.340182,0.340218,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,472,0.247488,0.340182,0.340204,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,473,0.249511,0.249511,0.303927,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,474,0.252388,0.252388,0.283311,1.236894,1.236894,0,7,0.4,3
2026/6/16 14:19,475,0.243829,0.243829,0.267518,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,476,0.241199,0.241199,0.256991,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,477,2.13348,0.247773,0.253304,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,478,2.13348,0.249511,0.251787,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,479,1.371122,0.252388,0.252027,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,480,0.249996,0.249996,0.251215,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,481,0.250651,0.250651,0.250989,0.250651,0.253127,0,7,0.4,3
2026/6/16 14:19,482,1.360318,1.360318,0.694721,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,483,1.366964,1.366964,0.963618,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,484,2.13348,2.13348,1.431563,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,485,2.13348,2.13348,1.71233,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,486,2.13348,2.13348,1.88079,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,487,2.13348,2.13348,1.981866,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,488,0.244985,2.13348,2.042512,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,489,0.246638,2.13348,2.078899,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,490,0.246237,2.13348,2.100731,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,491,2.13348,2.13348,2.113831,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,492,2.13348,2.13348,2.12169,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,493,2.13348,2.13348,2.126406,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,494,2.13348,2.13348,2.129236,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,495,0.29548,2.13348,2.130933,0.29548,0.301103,1,7,0.4,3
2026/6/16 14:19,496,0.289177,2.13348,2.131952,0.29548,0.29548,1,7,0.4,3
2026/6/16 14:19,497,0.285642,2.13348,2.132563,0.29548,0.29548,1,7,0.4,3
2026/6/16 14:19,498,2.13348,2.13348,2.13293,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,499,0.29548,0.29548,1.39795,0.29548,0.325219,0,7,0.4,3
2026/6/16 14:19,500,0.324493,0.324493,0.968567,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,501,2.13348,0.29548,0.699332,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,502,0.339636,0.339636,0.555454,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,503,0.340309,0.340309,0.469396,0.340309,0.344074,0,7,0.4,3
2026/6/16 14:19,504,0.340309,0.340309,0.417761,0.340309,0.343114,0,7,0.4,3
2026/6/16 14:19,505,0.340309,0.340309,0.38678,0.340309,0.343702,0,7,0.4,3
2026/6/16 14:19,506,0.340309,0.340309,0.368192,0.340309,0.343127,0,7,0.4,3
2026/6/16 14:19,507,0.340309,0.340309,0.357039,0.340309,0.343781,0,7,0.4,3
2026/6/16 14:19,508,0.340309,0.340309,0.350347,0.340309,0.342173,0,7,0.4,3
2026/6/16 14:19,509,0.337987,0.337987,0.345403,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,510,0.335935,0.335935,0.341616,0.340309,0.340309,0,7,0.4,3
2026/6/16 14:19,511,0.340309,0.340309,0.341093,0.340309,0.342072,0,7,0.4,3
2026/6/16 14:19,512,0.340309,0.340309,0.340779,0.340309,0.348277,0,7,0.4,3
2026/6/16 14:19,513,1.236894,0.340309,0.340591,1.236894,1.239487,1,7,0.4,3
2026/6/16 14:19,514,1.236894,0.340309,0.340478,1.236894,1.239972,1,7,0.4,3
2026/6/16 14:19,515,2.13348,0.340309,0.340411,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,516,1.236894,1.236894,0.699004,1.236894,1.243565,0,7,0.4,3
2026/6/16 14:19,517,1.236894,1.236894,0.91416,1.236894,1.242948,0,7,0.4,3
2026/6/16 14:19,518,1.365116,1.236894,1.043254,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,519,1.36764,1.236894,1.12071,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,520,1.371382,1.371382,1.220979,1.371382,1.374209,0,7,0.4,3
2026/6/16 14:19,521,1.371382,1.371382,1.28114,1.371382,1.374018,0,7,0.4,3
2026/6/16 14:19,522,0.348361,1.365116,1.31473,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,523,0.245066,1.365116,1.334885,0.340309,0.340309,1,7,0.4,3
2026/6/16 14:19,524,0.258624,1.365116,1.346977,0.340309,0.340309,1,7,0.4,3
2026/6/16 14:19,525,0.272711,0.272711,0.917271,1.550699,1.550699,0,7,0.4,3
2026/6/16 14:19,526,0.234832,0.234832,0.644295,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,527,0.242959,0.242959,0.483761,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,528,0.248264,0.248264,0.389562,0.250651,0.250651,0,7,0.4,3
2026/6/16 14:19,529,0.250651,0.250651,0.333998,0.250651,0.258679,0,7,0.4,3
2026/6/16 14:19,530,1.235282,0.250651,0.300659,1.236894,1.236894,1,7,0.4,3
2026/6/16 14:19,531,1.365591,0.250651,0.280656,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,532,1.359305,0.250651,0.268654,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,533,1.353919,1.353919,0.70276,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,534,2.13348,1.353919,0.963224,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,535,2.13348,1.359305,1.121656,2.223138,2.447284,1,7,0.4,3
2026/6/16 14:19,536,1.351652,1.351652,1.213654,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,537,0.249608,1.359305,1.271915,0.250651,0.250651,1,7,0.4,3
2026/6/16 14:19,538,2.13348,2.13348,1.616541,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,539,2.13348,2.13348,1.823316,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,540,2.13348,2.13348,1.947382,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,541,2.13348,2.13348,2.021821,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,542,2.13348,2.13348,2.066485,2.223138,2.447284,0,7,0.4,3
2026/6/16 14:19,543,1.365972,2.13348,2.093283,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,544,1.367632,2.13348,2.109362,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,545,1.368064,2.13348,2.119009,1.371382,1.371382,1,7,0.4,3
2026/6/16 14:19,546,1.368222,1.368222,1.818694,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,547,1.36784,1.36784,1.638353,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,548,1.368322,1.368322,1.53034,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,549,1.368405,1.368405,1.465566,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,550,1.366973,1.366973,1.426129,1.371382,1.371382,0,7,0.4,3
2026/6/16 14:19,551,1.368313,1.368313,1.403003,1.371382,1.371382,0,7,0.4,3
